1,000050,0,2,21
2,000051,1,2,21
3,000052,0,2,19
4,000055,0,2,21
5,000101,0,2,22
6,000109,1,3,22
7,000114,1,2,19
8,000118,1,2,17
9,000119,1,2,17
10,000123,1,2,17
11,000125,1,2,15
12,000127,1,7,19
13,000132,0,2,21
15,000135,0,2,141
15,000135,0,7,75
17,000137,0,2,30
17,000137,0,7,8
19,000141,0,2,25
19,000141,0,7,19
20,000144,0,3,24
21,000149,0,2,19
22,000201,0,2,19
23,000208,0,7,15
24,000226,1,2,30
25,000226,1,2,171
26,000227,0,3,21
28,000230,0,2,19
29,000231,1,3,19
29,000231,0,3,4
30,000239,1,2,21
31,000243,0,2,30
32,000246,0,2,25
34,000248,1,2,30
34,000248,1,2,22
35,000248,0,2,21
37,000251,0,2,37
37,000251,0,2,21
38,000253,0,2,21
39,000254,0,2,17
40,000302,1,3,25
41,000327,1,2,21
43,000336,1,3,38
43,000336,1,5,21
44,000343,0,2,15
45,000345,0,7,22
47,000405,0,2,52
47,000405,0,7,6
48,000407,0,7,19
49,000409,0,5,25
51,000452,0,5,38
51,000452,0,5,30
52,000454,1,2,19
54,000458,1,2,25
56,000500,1,2,17
57,000501,0,7,21
57,000501,0,7,3
57,000501,0,7,2
59,000520,0,2,39130
59,000520,0,2,25
61,000521,0,2,38
62,000522,1,2,19
63,000523,1,2,19
64,000524,0,2,22
65,000526,0,5,15
65,000526,0,7,6
66,000528,0,7,21
67,000532,0,2,21
68,000532,0,2,21
69,000535,0,7,25
70,000536,0,7,29
71,000542,0,2,19
72,000601,1,3,25
73,000603,1,2,30
74,000604,0,2,25
75,000608,1,2,21
76,000609,1,2,19
77,000611,1,2,21
78,000612,1,2,21
79,000614,1,2,19
80,000616,1,2,21
81,000616,0,2,14
82,000618,0,2,14
84,000622,1,2,24
84,000622,1,5,17
85,000623,1,2,17
86,000707,1,2,21
87,000717,1,3,22
89,000719,0,2,37
89,000719,0,7,18
91,000723,0,2,38
91,000723,0,5,21
92,000724,0,2,21
94,000727,0,5,150
94,000727,0,7,38
95,000729,0,2,17
96,000731,1,2,17
97,000732,1,2,17
98,000734,0,2,19
99,000736,0,2,22
100,000739,1,2,21
101,000746,1,2,22
102,000752,1,2,30
104,000755,0,2,21
105,000758,1,2,19
105,000758,1,5,3
107,000807,0,2,51
107,000807,0,5,7
108,000809,0,2,19
109,000810,0,2,29
110,000811,0,2,25
111,000812,0,3,24
112,000814,1,2,25
113,000816,1,2,25
114,000818,1,7,25
115,000819,0,2,30
116,000822,0,2,21
117,000833,1,3,25
118,000836,1,2,21
119,000837,1,2,19
120,000841,1,2,22
121,000852,0,3,76
122,000905,1,2,21
123,000909,1,7,19
124,000927,1,5,17
125,000932,0,5,22
126,000945,1,2,30
128,000950,1,2,37
128,000950,1,7,37
129,000952,0,7,25
130,000954,1,2,21
131,000954,1,2,25
132,000955,0,2,19
133,000957,0,2,21
134,001003,0,5,19
135,001012,0,5,22
136,001023,1,2,21
137,001026,0,2,18
138,001026,0,5,26
139,001029,0,2,22
140,001031,1,2,21
141,001045,1,3,19
142,001051,0,7,21
143,001053,0,7,30
144,001059,0,5,22
145,001107,0,2,21
147,001111,1,2,19
147,001111,1,3,19
